tree_id,lat,long,elev
1,51.779787,-1.32709,85.121552
2,51.780386,-1.329531,82.171692
3,51.779886,-1.330794,96.089989
4,51.778515,-1.342039,84.289581
5,51.773858,-1.332327,147.47641
6,51.771109,-1.337834,187.513077
7,51.770024,-1.339454,159.401672
8,51.768441,-1.342495,155.212112
9,51.766481,-1.344476,108.925354
10,51.766273,-1.343037,119.749557
11,51.765609,-1.3406,119.339935
12,51.768722,-1.33918,151.85968
13,51.76957,-1.335592,156.911728
14,51.765623,-1.33565,122.026764
15,51.76472,-1.336415,109.040443
16,51.763408,-1.338408,97.297813
17,51.763827,-1.341286,94.324623
18,51.761173,-1.337616,94.172791
19,51.761422,-1.334823,113.867226
20,51.76281,-1.32993,146.570175
21,51.768047,-1.332134,148.024353
22,51.764372,-1.325293,151.161514
23,51.763039,-1.317197,156.827759
24,51.764682,-1.318011,145.248871
25,51.766717,-1.311644,107.639473
26,51.767603,-1.309244,90.585976
27,51.768581,-1.307981,78.840279
28,51.767861,-1.307085,78.110916
29,51.764686,-1.31402,134.965897
30,51.768381,-1.334438,150.769302
31,51.772863,-1.334193,156.736023
32,51.766059,-1.337796,120.581863
33,51.770348,-1.328751,205.463196
34,51.76772,-1.30936,92
35,51.76295,-1.31748,149
