tree_id,long_ddm,lat_ddm,long_dd,lat_dd,focal,repro_2022,pollinator_survey,herbivory_survey,fruit_set,fruit_drop
1,NA,NA,-1.32712436,51.77976046,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
1.1,W001 19.6192,N51 46.7729,-1.32698735,51.77954997,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
1.2,W001 19.6251,N51 46.7800,-1.32705624,51.7796954,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2,NA,NA,-1.32950427,51.78029831,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
2.1,W001 19.7662,N51 46.8172,-1.32943666,51.78028488,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
2.2,W001 19.7713,N51 46.8151,-1.329521656,51.78025055,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3,NA,NA,-1.3307027,51.77986746,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
3.1,W001 19.8141,N51 46.8150,-1.330235004,51.78025055,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
3.2,W001 19.8528,N51 46.7912,-1.330880046,51.77985382,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
4,NA,NA,-1.34207267,51.77848982,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
4.2,W001 20.5394,N51 46.6994,-1.342323303,51.77832413,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
5,NA,NA,-1.33220601,51.77383872,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
5.1,W001 19.932,N51 46.423,-1.33220005,51.77371597,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
5.2,W001 19.933,N51 46.427,-1.33221662,51.77378464,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
6,NA,NA,-1.33783323,51.77108754,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
6.2,W001 20.268,N51 46.266,-1.337800026,51.77109909,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
7,NA,NA,-1.33953082,51.77003306,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
7.1,W001 20.347,N51 46.192,-1.339116693,51.76986694,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
7.2,W001 20.367,N51 46.199,-1.339450002,51.7699852,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
8,NA,NA,-1.34242776,51.76850913,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
8.1,W001 20.471,N51 46.124,-1.341183305,51.76873398,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
8.2,W001 20.553,N51 46.113,-1.34265814,51.76865048,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
9,NA,NA,-1.3444644,51.76649846,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
9.1,W001 20.6759,N51 46.0064,-1.344598293,51.76677322,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
9.2,W001 20.6684,N51 45.9903,-1.344473362,51.7665062,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
10,NA,NA,-1.34307874,51.76630722,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
10.1,W001 20.5577,N51 45.9738,-1.34262836,51.76623154,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
10.2,W001 20.5766,N51 45.9882,-1.342943311,51.76647186,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
11,NA,NA,-1.34062264,51.76554311,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
11.1,W001 20.4390,N51 45.9339,-1.340649962,51.76556396,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
11.2,W001 20.4296,N51 45.9307,-1.340493321,51.76551056,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
12,NA,NA,-1.33918,51.768722,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
12.1,W001 20.336,N51 46.121,-1.338933349,51.76868439,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
12.2,W001 20.337,N51 46.119,-1.338950038,51.76865005,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
13,NA,NA,-1.33565138,51.76960881,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
13.1,W001 20.135,N51 46.179,-1.335583329,51.76964951,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
13.2,W001 20.136,N51 46.176,-1.335600019,51.76959991,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
14,NA,NA,-1.33563696,51.7655461,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
14.1,W001 20.1181,N51 45.8981,-1.335301638,51.76496887,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
14.2,W001 20.1199,N51 45.8695,-1.335331678,51.76449203,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
15,NA,NA,-1.33650803,51.76470654,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
15.2,W001 20.1823,N51 45.8752,-1.33637166,51.7645874,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
16,NA,NA,-1.338408,51.763408,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
16.2,W001 20.3072,N51 45.8038,-1.338453293,51.76339722,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
16.3,W001 20.3525,N51 45.8136,-1.339208364,51.76356125,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
17,NA,NA,-1.341286,51.763827,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
17.2,W001 20.4854,N51 45.8487,-1.341423392,51.7641449,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
18,NA,NA,-1.337616,51.761173,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
18.1,W001 20.2114,N51 45.6467,-1.336856723,51.76077652,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
18.2,W001 20.2514,N51 45.6708,-1.337523341,51.76118088,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
19,NA,NA,-1.334823,51.761422,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
19.2,W001 20.0866,N51 45.6859,-1.33477664,51.76143265,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
20,NA,NA,-1.32993,51.76281,TRUE,NA,FALSE,FALSE,FALSE,TRUE
21,NA,NA,-1.33210832,51.76807134,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
21.1,W001 19.923,N51 46.081,-1.332049966,51.76801682,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
21.2,W001 19.928,N51 46.085,-1.332133293,51.76808167,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
22,NA,NA,-1.32533279,51.76427947,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
22.1,W001 19.5055,N51 45.8692,-1.32509172,51.76448822,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
22.2,W001 19.5176,N51 45.8581,-1.325293303,51.7643013,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
23,NA,NA,-1.317197,51.763039,TRUE,NA,FALSE,FALSE,FALSE,TRUE
24,NA,NA,-1.31806165,51.76462515,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
24.1,W001 19.0854,N51 45.8756,-1.318089962,51.76459503,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
24.2,W001 19.0869,N51 45.8761,-1.318114996,51.76460266,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
25,NA,NA,-1.31163681,51.7667086,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
25.1,W001 18.6751,N51 46.0143,-1.31125164,51.76690674,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
25.2,W001 18.6832,N51 46.0065,-1.311386704,51.76677322,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
26,NA,NA,-1.3093728,51.76774065,TRUE,NA,FALSE,FALSE,FALSE,TRUE
27,NA,NA,-1.30798,51.76858,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
